Text,Subject,Relation,Object
Goldman Sachs reported a 10% rise in revenue last quarter.,Sachs,reported,revenue
"Harvard University launched a new AI program on June 10, 2024.",University,launched,June
Dr. Sarah Johnson conducted a study on diabetes in 2023.,Johnson,conducted,2023
Stanford University collaborated with Google on an AI ethics project last December.,University,collaborated,project
"Apple Inc. released the iPhone 15 on October 15, 2023.",Inc.,released,October
The University of Cambridge held its annual convocation in July 2022.,University,held,July
Google partnered with NASA to advance quantum computing in 2024.,Google,partnered,2024
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
Amazon Web Services launched new cloud infrastructure in India last year.,Services,launched,India
The Reserve Bank of India announced new monetary policies in April 2023.,Bank,announced,April
Dr. Alan Walker presented a paper on climate change at Oxford University in 2023.,Walker,presented,2023
Dr. Emily Carter joined the Mayo Clinic as a senior surgeon last year.,Carter,joined,surgeon
Elon Musk unveiled the new Tesla chip during a 2022 event.,Musk,unveiled,event
Dr. Alan Walker presented a paper on climate change at Oxford University in 2023.,Walker,presented,2023
"Apple Inc. released the iPhone 15 on October 15, 2023.",Inc.,released,October
Dr. Alan Walker presented a paper on climate change at Oxford University in 2023.,Walker,presented,2023
The Reserve Bank of India announced new monetary policies in April 2023.,Bank,announced,April
"Apple Inc. released the iPhone 15 on October 15, 2023.",Inc.,released,October
"Harvard University launched a new AI program on June 10, 2024.",University,launched,June
The University of Cambridge held its annual convocation in July 2022.,University,held,July
Elon Musk unveiled the new Tesla chip during a 2022 event.,Musk,unveiled,event
Dr. Sarah Johnson conducted a study on diabetes in 2023.,Johnson,conducted,2023
MIT announced new scholarships for data science students in 2021.,MIT,announced,2021
Amazon Web Services launched new cloud infrastructure in India last year.,Services,launched,India
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
Elon Musk unveiled the new Tesla chip during a 2022 event.,Musk,unveiled,event
Elon Musk unveiled the new Tesla chip during a 2022 event.,Musk,unveiled,event
Dr. Emily Carter joined the Mayo Clinic as a senior surgeon last year.,Carter,joined,surgeon
"Harvard University launched a new AI program on June 10, 2024.",University,launched,June
Stanford University collaborated with Google on an AI ethics project last December.,University,collaborated,project
The University of Cambridge held its annual convocation in July 2022.,University,held,July
Dr. Emily Carter joined the Mayo Clinic as a senior surgeon last year.,Carter,joined,surgeon
The University of Cambridge held its annual convocation in July 2022.,University,held,July
Stanford University collaborated with Google on an AI ethics project last December.,University,collaborated,project
Dr. Sarah Johnson conducted a study on diabetes in 2023.,Johnson,conducted,2023
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
"Harvard University launched a new AI program on June 10, 2024.",University,launched,June
JP Morgan Chase acquired a fintech startup in June 2022.,Chase,acquired,June
"Harvard University launched a new AI program on June 10, 2024.",University,launched,June
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
Dr. Sarah Johnson conducted a study on diabetes in 2023.,Johnson,conducted,2023
Dr. Alan Walker presented a paper on climate change at Oxford University in 2023.,Walker,presented,2023
MIT announced new scholarships for data science students in 2021.,MIT,announced,2021
Warren Buffett’s Berkshire Hathaway increased its holdings in Apple last year.,Hathaway,increased,Apple
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
"Apple Inc. released the iPhone 15 on October 15, 2023.",Inc.,released,October
Stanford University collaborated with Google on an AI ethics project last December.,University,collaborated,project
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
"Apple Inc. released the iPhone 15 on October 15, 2023.",Inc.,released,October
Microsoft introduced Copilot features to Windows 11 in September 2023.,Microsoft,introduced,September
The University of Cambridge held its annual convocation in July 2022.,University,held,July
The World Health Organization released new COVID-19 guidelines in March 2021.,Organization,released,March
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
Dr. Emily Carter joined the Mayo Clinic as a senior surgeon last year.,Carter,joined,surgeon
Elon Musk unveiled the new Tesla chip during a 2022 event.,Musk,unveiled,event
The Reserve Bank of India announced new monetary policies in April 2023.,Bank,announced,April
"Apple Inc. released the iPhone 15 on October 15, 2023.",Inc.,released,October
"Apple Inc. released the iPhone 15 on October 15, 2023.",Inc.,released,October
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
Elon Musk unveiled the new Tesla chip during a 2022 event.,Musk,unveiled,event
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
Dr. Alan Walker presented a paper on climate change at Oxford University in 2023.,Walker,presented,2023
The Reserve Bank of India announced new monetary policies in April 2023.,Bank,announced,April
Elon Musk unveiled the new Tesla chip during a 2022 event.,Musk,unveiled,event
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
"Harvard University launched a new AI program on June 10, 2024.",University,launched,June
MIT announced new scholarships for data science students in 2021.,MIT,announced,2021
Dr. Sarah Johnson conducted a study on diabetes in 2023.,Johnson,conducted,2023
Microsoft introduced Copilot features to Windows 11 in September 2023.,Microsoft,introduced,September
Dr. Alan Walker presented a paper on climate change at Oxford University in 2023.,Walker,presented,2023
Stanford University collaborated with Google on an AI ethics project last December.,University,collaborated,project
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
Goldman Sachs reported a 10% rise in revenue last quarter.,Sachs,reported,revenue
The Reserve Bank of India announced new monetary policies in April 2023.,Bank,announced,April
Dr. Emily Carter joined the Mayo Clinic as a senior surgeon last year.,Carter,joined,surgeon
The Reserve Bank of India announced new monetary policies in April 2023.,Bank,announced,April
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
Microsoft introduced Copilot features to Windows 11 in September 2023.,Microsoft,introduced,September
The Reserve Bank of India announced new monetary policies in April 2023.,Bank,announced,April
The University of Cambridge held its annual convocation in July 2022.,University,held,July
The Reserve Bank of India announced new monetary policies in April 2023.,Bank,announced,April
The Reserve Bank of India announced new monetary policies in April 2023.,Bank,announced,April
Microsoft introduced Copilot features to Windows 11 in September 2023.,Microsoft,introduced,September
Stanford University collaborated with Google on an AI ethics project last December.,University,collaborated,project
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
Dr. Alan Walker presented a paper on climate change at Oxford University in 2023.,Walker,presented,2023
MIT announced new scholarships for data science students in 2021.,MIT,announced,2021
Dr. Emily Carter joined the Mayo Clinic as a senior surgeon last year.,Carter,joined,surgeon
The University of Cambridge held its annual convocation in July 2022.,University,held,July
JP Morgan Chase acquired a fintech startup in June 2022.,Chase,acquired,June
Pfizer announced a new vaccine trial in August 2022.,Pfizer,announced,August
Stanford University collaborated with Google on an AI ethics project last December.,University,collaborated,project
JP Morgan Chase acquired a fintech startup in June 2022.,Chase,acquired,June
Stanford University collaborated with Google on an AI ethics project last December.,University,collaborated,project
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
Warren Buffett’s Berkshire Hathaway increased its holdings in Apple last year.,Hathaway,increased,Apple
Elon Musk unveiled the new Tesla chip during a 2022 event.,Musk,unveiled,event
Elon Musk unveiled the new Tesla chip during a 2022 event.,Musk,unveiled,event
"Apple Inc. released the iPhone 15 on October 15, 2023.",Inc.,released,October
Stanford University collaborated with Google on an AI ethics project last December.,University,collaborated,project
John Hopkins University reported an increase in mental health cases in 2020.,University,reported,2020
The World Health Organization released new COVID-19 guidelines in March 2021.,Organization,released,March
