text,subject,relation,object
Marissa Mayer announced a new edge computing at SpaceX.,Marissa Mayer,announced,SpaceX
Apple released a quantum computing that improves edge computing.,Apple,released,a
Max Planck Institute announced a particle discovery that impacts genetics.,Max Planck Institute,announced,a
A study on particle discovery led by Isaac Newton was published on 1991-04-05.,1991,related_to,Isaac Newton
"Barack Obama announced policy changes regarding education at Washington, USA.",Barack Obama,announced,Washington
"Angela Merkel met leaders from Parliament in New Delhi, India to discuss policy announcement.",Angela Merkel,related_to,New Delhi
"Angela Merkel announced policy changes regarding healthcare at Geneva, Switzerland.",Angela Merkel,announced,Geneva
"CIMMYT introduced a yield improvement study to improve yields in Iowa, USA.",CIMMYT,introduced,Iowa
CERN announced a field research that impacts biology.,CERN,announced,a
Sundar Pichai became CEO of Tesla following the acquisition.,Sundar Pichai,related_to,CEO
A breakthrough in robotics was reported by Apple.,was,reported,Apple
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Iowa, USA.",AgriTech Ltd,introduced,Iowa
"Researchers at Harvard University reported a particle discovery in Cape Town, South Africa.",Harvard University,reported,Cape Town
"Barack Obama met leaders from United Nations in Washington, USA to discuss policy announcement.",Barack Obama,related_to,United Nations
"Kamala Harris announced policy changes regarding trade at Geneva, Switzerland.",Kamala Harris,announced,Geneva
FC Barcelona announced a new tournament for 2024-2025.,FC Barcelona,announced,a
Sundar Pichai announced a new quantum computing at SpaceX.,Sundar Pichai,announced,SpaceX
CERN announced a field research that impacts climatology.,CERN,announced,a
Intel released a robotics that improves 5G networks.,Intel,released,a
"Kamala Harris met leaders from Congress in Washington, USA to discuss policy announcement.",Kamala Harris,related_to,USA
NBA announced a new season opener for 2023-2024.,NBA,announced,a
"Barack Obama announced policy changes regarding climate at Geneva, Switzerland.",Barack Obama,announced,Geneva
"Barack Obama met leaders from Parliament in Washington, USA to discuss policy announcement.",Barack Obama,related_to,USA
"Satya Nadella led the launch of a AI-driven sensors in Silicon Valley, USA.",Satya Nadella,related_to,Silicon Valley
Sundar Pichai became CEO of Reliance Industries following the acquisition.,Sundar Pichai,related_to,Reliance Industries
"Researchers at Max Planck Institute reported a field research in Geneva, Switzerland.",Max Planck Institute,reported,Geneva
Sundar Pichai became CEO of Tesla following the acquisition.,Sundar Pichai,related_to,CEO
"International Rice Research Institute introduced a yield improvement study to improve yields in Punjab, India.",International Rice Research Institute,introduced,Punjab
NBA announced a new tournament for 2022-2023.,NBA,announced,a
"A famous exhibition by Leonardo da Vinci is housed in Metropolitan Opera in New York, USA.",Metropolitan Opera,related_to,New York
"A policy announcement was passed by United Nations impacting Washington, USA.",United Nations,related_to,USA
"The season opener in London, UK featured Lionel Messi and NBA.",Lionel Messi,related_to,UK
NASA announced a field research that impacts genetics.,NASA,announced,a
"A bill passage was passed by European Union impacting New Delhi, India.",European Union,related_to,New Delhi
"Researchers at CERN reported a field research in Cambridge, UK.",CERN,reported,Cambridge
"Sydney Opera House announced restoration of the painting in New York, USA.",Sydney Opera House,announced,New York
SpaceX released a robotics that improves 5G networks.,SpaceX,released,a
Max Planck Institute announced a particle discovery that impacts climatology.,Max Planck Institute,announced,a
"The season opener in London, UK featured Serena Williams and FC Barcelona.",Serena Williams,related_to,UK
A breakthrough in 5G networks was reported by OpenAI.,was,reported,OpenAI
Wimbledon announced a new season opener for 2024-2025.,Wimbledon,announced,a
Indra Nooyi became CEO of Siemens following the merger.,Indra Nooyi,related_to,CEO
"The season opener in Madrid, Spain featured Lionel Messi and NBA.",Lionel Messi,related_to,NBA
"Norman Borlaug led trials of irrigation technique adoption in Iowa, USA.",Norman Borlaug,related_to,USA
"Sydney Opera House announced restoration of the opera in Madrid, Spain.",Sydney Opera House,announced,Madrid
